light_source,measurement,z,z_rel,diameter
green-He-Ne,lens-2W-040s,39,1,249.60000000000002
green-He-Ne,lens-2W-040s,40,2,249.60000000000002
green-He-Ne,lens-2W-040s,41,3,260.0
green-He-Ne,lens-2W-040s,42,4,260.0
green-He-Ne,lens-2W-040s,43,5,265.2
green-He-Ne,lens-2W-040s,44,6,265.2
green-He-Ne,lens-2W-040s,45,7,265.2
green-He-Ne,lens-2W-040s,46,8,275.6
green-He-Ne,lens-2W-040s,47,9,275.6
green-He-Ne,lens-2W-040s,48,10,280.8
green-He-Ne,lens-2W-040s,49,11,280.8
green-He-Ne,lens-2W-040s,50,12,286.0
green-He-Ne,lens-2W-040s,51,13,286.0
green-He-Ne,lens-2W-040s,52,14,286.0
green-He-Ne,lens-2W-040s,53,15,291.2
green-He-Ne,lens-2W-040s,54,16,291.2
green-He-Ne,lens-2W-040s,55,17,286.0
green-He-Ne,lens-2W-040s,56,18,291.2
green-He-Ne,lens-2W-040s,57,19,286.0
green-He-Ne,lens-2W-040s,58,20,280.8
green-He-Ne,lens-2W-040s,59,21,286.0
green-He-Ne,lens-2W-040s,60,22,286.0
green-He-Ne,lens-2W-040s,61,23,291.2
green-He-Ne,lens-2W-040s,62,24,301.6
green-He-Ne,lens-2W-040s,63,25,312.0
green-He-Ne,lens-2W-040s,64,26,306.8
green-He-Ne,lens-2W-040s,65,27,312.0
green-He-Ne,lens-2W-040s,66,28,312.0
green-He-Ne,lens-2W-040s,67,29,317.2
green-He-Ne,lens-2W-040s,68,30,317.2
green-He-Ne,lens-2W-040s,69,31,317.2
green-He-Ne,lens-2W-040s,70,32,332.8
green-He-Ne,lens-2W-040s,71,33,327.6
green-He-Ne,lens-2W-040s,72,34,332.8
green-He-Ne,lens-2W-040s,73,35,327.6
green-He-Ne,lens-2W-040s,74,36,343.2
green-He-Ne,lens-2W-040s,75,37,348.40000000000003
green-He-Ne,lens-2W-040s,76,38,348.40000000000003
green-He-Ne,lens-2W-040s,77,39,348.40000000000003
green-He-Ne,lens-2W-040s,78,40,353.6
green-He-Ne,lens-2W-040s,79,41,369.2
green-He-Ne,lens-2W-040s,80,42,369.2
green-He-Ne,lens-2W-040s,81,43,369.2
green-He-Ne,lens-2W-040s,82,44,374.40000000000003
green-He-Ne,lens-2W-040s,83,45,369.2
green-He-Ne,lens-2W-040s,84,46,374.40000000000003
green-He-Ne,lens-2W-040s,85,47,379.6
green-He-Ne,lens-2W-040s,86,48,384.8
green-He-Ne,lens-2W-040s,87,49,395.2
green-He-Ne,lens-2W-040s,88,50,390.0
green-He-Ne,lens-2W-040s,89,51,400.40000000000003
green-He-Ne,lens-2W-040s,90,52,395.2
green-He-Ne,lens-2W-040s,91,53,410.8
green-He-Ne,lens-2W-040s,92,54,400.40000000000003
green-He-Ne,lens-2W-040s,93,55,416.0
green-He-Ne,lens-2W-040s,94,56,431.6
green-He-Ne,lens-2W-040s,95,57,426.40000000000003
green-He-Ne,lens-2W-040s,96,58,426.40000000000003
green-He-Ne,lens-2W-040s,97,59,426.40000000000003
green-He-Ne,lens-2W-040s,98,60,426.40000000000003
green-He-Ne,lens-2W-040s,99,61,436.8
green-He-Ne,lens-2W-060s,39,1,234.0
green-He-Ne,lens-2W-060s,40,2,234.0
green-He-Ne,lens-2W-060s,41,3,239.20000000000002
green-He-Ne,lens-2W-060s,42,4,239.20000000000002
green-He-Ne,lens-2W-060s,43,5,239.20000000000002
green-He-Ne,lens-2W-060s,44,6,249.60000000000002
green-He-Ne,lens-2W-060s,45,7,244.4
green-He-Ne,lens-2W-060s,46,8,249.60000000000002
green-He-Ne,lens-2W-060s,47,9,254.8
green-He-Ne,lens-2W-060s,48,10,254.8
green-He-Ne,lens-2W-060s,49,11,265.2
green-He-Ne,lens-2W-060s,50,12,265.2
green-He-Ne,lens-2W-060s,51,13,260.0
green-He-Ne,lens-2W-060s,52,14,265.2
green-He-Ne,lens-2W-060s,53,15,265.2
green-He-Ne,lens-2W-060s,54,16,270.40000000000003
green-He-Ne,lens-2W-060s,55,17,275.6
green-He-Ne,lens-2W-060s,56,18,280.8
green-He-Ne,lens-2W-060s,57,19,275.6
green-He-Ne,lens-2W-060s,58,20,270.40000000000003
green-He-Ne,lens-2W-060s,59,21,280.8
green-He-Ne,lens-2W-060s,60,22,270.40000000000003
green-He-Ne,lens-2W-060s,61,23,275.6
green-He-Ne,lens-2W-060s,62,24,280.8
green-He-Ne,lens-2W-060s,63,25,280.8
green-He-Ne,lens-2W-060s,64,26,286.0
green-He-Ne,lens-2W-060s,65,27,291.2
green-He-Ne,lens-2W-060s,66,28,296.40000000000003
green-He-Ne,lens-2W-060s,67,29,296.40000000000003
green-He-Ne,lens-2W-060s,68,30,296.40000000000003
green-He-Ne,lens-2W-060s,69,31,296.40000000000003
green-He-Ne,lens-2W-060s,70,32,301.6
green-He-Ne,lens-2W-060s,71,33,312.0
green-He-Ne,lens-2W-060s,72,34,317.2
green-He-Ne,lens-2W-060s,73,35,327.6
green-He-Ne,lens-2W-060s,74,36,338.0
green-He-Ne,lens-2W-060s,75,37,338.0
green-He-Ne,lens-2W-060s,76,38,348.40000000000003
green-He-Ne,lens-2W-060s,77,39,348.40000000000003
green-He-Ne,lens-2W-060s,78,40,348.40000000000003
green-He-Ne,lens-2W-060s,79,41,353.6
green-He-Ne,lens-2W-060s,80,42,358.8
green-He-Ne,lens-2W-060s,81,43,374.40000000000003
green-He-Ne,lens-2W-060s,82,44,364.0
green-He-Ne,lens-2W-060s,83,45,374.40000000000003
green-He-Ne,lens-2W-060s,84,46,374.40000000000003
green-He-Ne,lens-2W-060s,85,47,379.6
green-He-Ne,lens-2W-060s,86,48,390.0
green-He-Ne,lens-2W-060s,87,49,395.2
green-He-Ne,lens-2W-060s,88,50,400.40000000000003
green-He-Ne,lens-2W-060s,89,51,395.2
green-He-Ne,lens-2W-060s,90,52,416.0
green-He-Ne,lens-2W-060s,91,53,410.8
green-He-Ne,lens-2W-060s,92,54,416.0
green-He-Ne,lens-2W-060s,93,55,416.0
green-He-Ne,lens-2W-060s,94,56,426.40000000000003
green-He-Ne,lens-2W-060s,95,57,426.40000000000003
green-He-Ne,lens-2W-060s,96,58,436.8
green-He-Ne,lens-2W-060s,97,59,436.8
green-He-Ne,lens-2W-060s,98,60,431.6
green-He-Ne,lens-2W-060s,99,61,436.8
green-He-Ne,lens-2W-080s,39,1,223.6
green-He-Ne,lens-2W-080s,40,2,223.6
green-He-Ne,lens-2W-080s,41,3,223.6
green-He-Ne,lens-2W-080s,42,4,223.6
green-He-Ne,lens-2W-080s,43,5,223.6
green-He-Ne,lens-2W-080s,44,6,228.8
green-He-Ne,lens-2W-080s,45,7,234.0
green-He-Ne,lens-2W-080s,46,8,239.20000000000002
green-He-Ne,lens-2W-080s,47,9,239.20000000000002
green-He-Ne,lens-2W-080s,48,10,244.4
green-He-Ne,lens-2W-080s,49,11,244.4
green-He-Ne,lens-2W-080s,50,12,249.60000000000002
green-He-Ne,lens-2W-080s,51,13,254.8
green-He-Ne,lens-2W-080s,52,14,260.0
green-He-Ne,lens-2W-080s,53,15,260.0
green-He-Ne,lens-2W-080s,54,16,265.2
green-He-Ne,lens-2W-080s,55,17,265.2
green-He-Ne,lens-2W-080s,56,18,265.2
green-He-Ne,lens-2W-080s,57,19,265.2
green-He-Ne,lens-2W-080s,58,20,270.40000000000003
green-He-Ne,lens-2W-080s,59,21,275.6
green-He-Ne,lens-2W-080s,60,22,280.8
green-He-Ne,lens-2W-080s,61,23,286.0
green-He-Ne,lens-2W-080s,62,24,291.2
green-He-Ne,lens-2W-080s,63,25,286.0
green-He-Ne,lens-2W-080s,64,26,286.0
green-He-Ne,lens-2W-080s,65,27,291.2
green-He-Ne,lens-2W-080s,66,28,301.6
green-He-Ne,lens-2W-080s,67,29,301.6
green-He-Ne,lens-2W-080s,68,30,301.6
green-He-Ne,lens-2W-080s,69,31,296.40000000000003
green-He-Ne,lens-2W-080s,70,32,301.6
green-He-Ne,lens-2W-080s,71,33,306.8
green-He-Ne,lens-2W-080s,72,34,306.8
green-He-Ne,lens-2W-080s,73,35,306.8
green-He-Ne,lens-2W-080s,74,36,312.0
green-He-Ne,lens-2W-080s,75,37,317.2
green-He-Ne,lens-2W-080s,76,38,317.2
green-He-Ne,lens-2W-080s,77,39,322.40000000000003
green-He-Ne,lens-2W-080s,78,40,322.40000000000003
green-He-Ne,lens-2W-080s,79,41,327.6
green-He-Ne,lens-2W-080s,80,42,327.6
green-He-Ne,lens-2W-080s,81,43,327.6
green-He-Ne,lens-2W-080s,82,44,332.8
green-He-Ne,lens-2W-080s,83,45,348.40000000000003
green-He-Ne,lens-2W-080s,84,46,338.0
green-He-Ne,lens-2W-080s,85,47,338.0
green-He-Ne,lens-2W-080s,86,48,338.0
green-He-Ne,lens-2W-080s,87,49,353.6
green-He-Ne,lens-2W-080s,88,50,348.40000000000003
green-He-Ne,lens-2W-080s,89,51,358.8
green-He-Ne,lens-2W-080s,90,52,353.6
green-He-Ne,lens-2W-080s,91,53,369.2
green-He-Ne,lens-2W-080s,92,54,379.6
green-He-Ne,lens-2W-080s,93,55,374.40000000000003
green-He-Ne,lens-2W-080s,94,56,395.2
green-He-Ne,lens-2W-080s,95,57,384.8
green-He-Ne,lens-2W-080s,96,58,390.0
green-He-Ne,lens-2W-080s,97,59,395.2
green-He-Ne,lens-2W-080s,98,60,400.40000000000003
green-He-Ne,lens-2W-080s,99,61,410.8
green-He-Ne,lens-2W-100s,39,1,213.20000000000002
green-He-Ne,lens-2W-100s,40,2,213.20000000000002
green-He-Ne,lens-2W-100s,41,3,218.4
